State,Low Income Communities (LICs)
Alabama,01115040401
Alabama,01117030405
Alabama,01117030406
Alabama,01117030407
Alabama,01117030408
Alabama,01117030703
Alabama,01117030704
Alabama,01119011300
Alabama,01119011400
Alabama,01119011500
Alabama,01119011600
Alabama,01121010102
Alabama,01121010301
Alabama,01121010400
Alabama,01121010500
Alabama,01121010600
Alabama,01121010900
Alabama,01121011000
Alabama,01121011100
Alabama,01121011200
Alabama,01121011300
Alabama,01121011400
Alabama,01121011500
Alabama,01121011600
Alabama,01121011700
Alabama,01121011800
Alabama,01121012000
Alabama,01123961900
Alabama,01123962000
Alabama,01123962100
Alabama,01123962200
Alabama,01123962300
Alabama,01123962400
Alabama,01123962600
Alabama,01125010403
Alabama,01125010404
Alabama,01125010407
Alabama,01125010500
Alabama,01125010601
Alabama,01125010803
Alabama,01125011200
Alabama,01125011401
Alabama,01125011402
Alabama,01125011600
Alabama,01125011701
Alabama,01125011703
Alabama,01125011800
Alabama,01125011901
Alabama,01125011902
Alabama,01125012000
Alabama,01125012100
Alabama,01125012304
Alabama,01125012404
Alabama,01125012405
Alabama,01125012501
Alabama,01125012600
Alabama,01125012700
Alabama,01125012800
Alabama,01127020100
Alabama,01127020300
Alabama,01127020400
Alabama,01127020800
Alabama,01127020900
Alabama,01127021000
Alabama,01127021100
Alabama,01127021200
Alabama,01127021400
Alabama,01127021500
Alabama,01127021800
Alabama,01127021900
Alabama,01129044200
Alabama,01129044300
Alabama,01131034700
Alabama,01131034800
Alabama,01131035100
Alabama,01131035200
Alabama,01133965501
Alabama,01133965502
Alabama,01133965600
Alabama,01133965700
Alabama,01133965800
Alaska,02013000100
Alaska,02016000100
Alaska,02020000300
Alaska,02020000400
Alaska,02020000500
Alaska,02020000600
Alaska,02020000701
Alaska,02020000702
Alaska,02020000703
Alaska,02020000801
Alaska,02020000802
Alaska,02020000901
Alaska,02020000902
Alaska,02020001000
Alaska,02020001400
Alaska,02020001802
Alaska,02020001900
Alaska,02020002000
Alaska,02020002811
Alaska,02050000100
Alaska,02050000300
Alaska,02070000100
Alaska,02090000100
Alaska,02090000200
Alaska,02090000300
Alaska,02090000500
Alaska,02090001100
Alaska,02090001800
Alaska,02105000300
Alaska,02122000100
Alaska,02122000800
Alaska,02122001200
Alaska,02130000300
Alaska,02150000500
Alaska,02164000100
Alaska,02170000101
Alaska,02170000200
Alaska,02170000401
Alaska,02170000402
Alaska,02170000800
Alaska,02170001003
Alaska,02180000100
Alaska,02185000200
Alaska,02188000100
Alaska,02198000100
Alaska,02198000300
Alaska,02198940100
Alaska,02240000100
Alaska,02261000100
Alaska,02270000100
Alaska,02275000300
Alaska,02290000100
Alaska,02290000200
Alaska,02290000300
Alaska,02290000400
American Samoa,60010950100
American Samoa,60010950200
American Samoa,60010950300
American Samoa,60010950500
American Samoa,60010950600
American Samoa,60010950700
American Samoa,60010950900
American Samoa,60020951800
American Samoa,60050951000
American Samoa,60050951100
American Samoa,60050951201
American Samoa,60050951202
American Samoa,60050951203
American Samoa,60050951300
American Samoa,60050951500
American Samoa,60050951600
Arizona,04001942600
Arizona,04001942700
Arizona,04001944000
Arizona,04001944100
Arizona,04001944201
Arizona,04001944202
Arizona,04001944300
Arizona,04001944901
Arizona,04001944902
Arizona,04001945001
Arizona,04001945002
Arizona,04001945100
Arizona,04001970200
Arizona,04001970300
Arizona,04001970501
Arizona,04003000301
Arizona,04003000400
Arizona,04003000600
Arizona,04003000700
Arizona,04003000800
Arizona,04003000901
Arizona,04003000902
Arizona,04003001000
Arizona,04003001100
Arizona,04003001200
Arizona,04003001501
Arizona,04003001502
Arizona,04003001602
Arizona,04003001701
Arizona,04003001702
Arizona,04003002001
Arizona,04005000300
Arizona,04005000800
Arizona,04005000900
Arizona,04005001000
Arizona,04005001102
Arizona,04005001700
Arizona,04005002300
Arizona,04005942201
Arizona,04005942202
Arizona,04005944900
Arizona,04005945000
Arizona,04005945100
Arizona,04005945200
Arizona,04007000200
Arizona,04007000302
Arizona,04007000600
Arizona,04007000700
Arizona,04007000800
Arizona,04007000900
Arizona,04007001000
Arizona,04007001200
Arizona,04007001300
Arizona,04007940200
Arizona,04007940400
Arizona,04009940500
Arizona,04009961201
Arizona,04009961300
Arizona,04009961500
Arizona,04011960300
Arizona,04012020100
Arizona,04012020201
Arizona,04012020501
Arizona,04012020502
Arizona,04012020602
Arizona,04012940300
Arizona,04013040502
Arizona,04013040527
Arizona,04013040531
Arizona,04013050603
Arizona,04013050604
Arizona,04013050607
Arizona,04013050609
Arizona,04013050701
Arizona,04013050702
Arizona,04013060801
Arizona,04013060902
Arizona,04013060903
