year,BoroCode,BoroName,CT2020,BoroCT2020,NTAName,NTA2020,CDTA2020,GEOID,group,is_top_aff,count
2019,"1",Manhattan,"011000","1011000",Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,"36061011000",,,4
2019,"1",Manhattan,"010602","1010602",Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,"36061010602",,,4
2019,"1",Manhattan,"023804","1023804",Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,"36061023804",,,3
2023,"2",Bronx,"040600","2040600",Williamsbridge-Olinville,BX1201,BX12,"36005040600",,,3
2023,"2",Bronx,"040800","2040800",Williamsbridge-Olinville,BX1201,BX12,"36005040800",,,3
2023,"2",Bronx,"042000","2042000",Wakefield-Woodlawn,BX1203,BX12,"36005042000",,,3
2023,"2",Bronx,"042200","2042200",Wakefield-Woodlawn,BX1203,BX12,"36005042200",,,3
2023,"2",Bronx,"042400","2042400",Wakefield-Woodlawn,BX1203,BX12,"36005042400",,,2
2023,"2",Bronx,"043000","2043000",Wakefield-Woodlawn,BX1203,BX12,"36005043000",,,3
2023,"2",Bronx,"043400","2043400",Wakefield-Woodlawn,BX1203,BX12,"36005043400",,,3
2023,"2",Bronx,"043600","2043600",Wakefield-Woodlawn,BX1203,BX12,"36005043600",,,1
2023,"2",Bronx,"044902","2044902",Wakefield-Woodlawn,BX1203,BX12,"36005044902",,,2
2023,"2",Bronx,"043502","2043502",Woodlawn Cemetery,BX1271,BX12,"36005043502",,,2
2023,"2",Bronx,"045101","2045101",Wakefield-Woodlawn,BX1203,BX12,"36005045101",,,2
2023,"2",Bronx,"045102","2045102",Wakefield-Woodlawn,BX1203,BX12,"36005045102",,,1
2023,"2",Bronx,"041400","2041400",Wakefield-Woodlawn,BX1203,BX12,"36005041400",,,1
2023,"2",Bronx,"041800","2041800",Wakefield-Woodlawn,BX1203,BX12,"36005041800",,,3
2023,"2",Bronx,"043501","2043501",Williamsbridge-Olinville,BX1201,BX12,"36005043501",,,3
2021,"3",Brooklyn,"024600","3024600",Mapleton-Midwood (West),BK1204,BK12,"36047024600",,,2
2021,"3",Brooklyn,"025400","3025400",Bensonhurst,BK1101,BK11,"36047025400",,,3
2021,"3",Brooklyn,"025600","3025600",Bensonhurst,BK1101,BK11,"36047025600",,,3
2021,"3",Brooklyn,"025800","3025800",Bensonhurst,BK1101,BK11,"36047025800",,,3
2021,"3",Brooklyn,"043000","3043000",Bensonhurst,BK1101,BK11,"36047043000",,,3
2021,"3",Brooklyn,"043200","3043200",Bensonhurst,BK1101,BK11,"36047043200",,,3
2021,"3",Brooklyn,"043400","3043400",Bensonhurst,BK1101,BK11,"36047043400",,,3
2021,"3",Brooklyn,"043600","3043600",Bensonhurst,BK1101,BK11,"36047043600",,,3
2021,"3",Brooklyn,"043800","3043800",Mapleton-Midwood (West),BK1204,BK12,"36047043800",,,3
2021,"3",Brooklyn,"044000","3044000",Mapleton-Midwood (West),BK1204,BK12,"36047044000",,,3
2021,"3",Brooklyn,"044200","3044200",Mapleton-Midwood (West),BK1204,BK12,"36047044200",,,3
2021,"3",Brooklyn,"044400","3044400",Mapleton-Midwood (West),BK1204,BK12,"36047044400",,,3
2021,"3",Brooklyn,"044600","3044600",Mapleton-Midwood (West),BK1204,BK12,"36047044600",,,2
2021,"3",Brooklyn,"044800","3044800",Mapleton-Midwood (West),BK1204,BK12,"36047044800",,,2
