CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,hu_post,aff_units_post,is_oz,other_units_post,aff_share_post,group,is_top_aff
"199.02","4",Queens,"019902","4019902",I,Sunnyside,QN0202,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),"36081019902","4402",20315.69066700000,6789764.48338000011,7,0,0,7,"0",,
"1078","3",Brooklyn,"107800","3107800",E,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047107800","4305",13423.77190180000,5449475.63894999959,1865,0,0,1865,"0",,
"1220","3",Brooklyn,"122000","3122000",E,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047122000","4305",20115.55562410000,11487294.35199999996,2642,452,0,2190,"0.17108251324753973",,
"219","4",Queens,"021900","4021900",I,Maspeth,QN0501,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081021900","4405",22287.86411700000,13807306.84400000051,17,0,0,17,"0",,
"535.02","4",Queens,"053502","4053502",I,Maspeth,QN0501,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081053502","4405",8999.62434789000,3494827.89408000000,0,0,0,0,NA,,
"1200","3",Brooklyn,"120000","3120000",E,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047120000","4305",6327.94312194000,1623804.05738999997,1057,0,0,1057,"0",,
"1208.03","3",Brooklyn,"120803","3120803",E,East New York-City Line,BK0505,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047120803","4305",6408.92202449000,1665738.99438000005,634,0,0,634,"0",,
"2.02","1",Manhattan,"000202","1000202",E,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061000202","4103",8568.08944236000,3315114.16006000014,3514,0,1,3514,"0",Top OZs (by units),NA
"543","3",Brooklyn,"054300","3054300",I,Brooklyn Navy Yard,BK0261,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),"36047054300","4302",39415.64354390000,10106806.81650000066,0,0,1,0,NA,,
"679","4",Queens,"067900","4067900",E,Middle Village,QN0504,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081067900","4405",9105.65079815000,2726931.60844000010,1813,0,0,1813,"0",,
"687","4",Queens,"068700","4068700",E,Rego Park,QN0601,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081068700","4406",8338.97187637000,2999985.07912999997,2109,0,0,2109,"0",,
"92","1",Manhattan,"009200","1009200",I,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061009200","4165",6172.97892123000,2118430.84367999993,1219,0,0,1219,"0",,
"100","1",Manhattan,"010000","1010000",I,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061010000","4165",5684.21153375000,1859881.00493999990,1588,0,0,1588,"0",,
"102","1",Manhattan,"010200","1010200",I,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061010200","4165",5687.80226274000,1860992.68904000008,325,0,0,325,"0",,
"108.01","1",Manhattan,"010801","1010801",I,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061010801","4165",3972.95944216000,763140.65062600002,2163,0,0,2163,"0",,
"108.02","1",Manhattan,"010802","1010802",I,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061010802","4165",3142.73680625000,617743.79863500001,2732,0,0,2732,"0",,
"108.03","1",Manhattan,"010803","1010803",I,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061010803","4165",3086.90209011000,583083.68649200001,1595,0,0,1595,"0",,
"112.02","1",Manhattan,"011202","1011202",I,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061011202","4165",3688.76232873000,839525.67302600003,597,0,0,597,"0",,
"112.03","1",Manhattan,"011203","1011203",I,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061011203","4165",3682.03628269000,841193.01006799995,1174,0,0,1174,"0",,
"114.02","1",Manhattan,"011402","1011402",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061011402","4108",4125.25634984000,1063547.35348999989,1925,0,0,1925,"0",,
"118","1",Manhattan,"011800","1011800",I,Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061011800","4108",5524.54237891000,1903276.24949000007,6628,0,0,6628,"0",,
