"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1400000US36005020200","Census Tract 202; Bronx County; New York","1390","148",
"1400000US36005020400","Census Tract 204; Bronx County; New York","1752","70",
"1400000US36005020501","Census Tract 205.01; Bronx County; New York","939","91",
"1400000US36005020502","Census Tract 205.02; Bronx County; New York","1250","552",
"1400000US36005020601","Census Tract 206.01; Bronx County; New York","1752","337",
"1400000US36005020900","Census Tract 209; Bronx County; New York","1380","170",
"1400000US36005021001","Census Tract 210.01; Bronx County; New York","1684","48",
"1400000US36005021002","Census Tract 210.02; Bronx County; New York","1741","64",
"1400000US36005021100","Census Tract 211; Bronx County; New York","1145","82",
"1400000US36005021200","Census Tract 212; Bronx County; New York","1707","67",
"1400000US36005021301","Census Tract 213.01; Bronx County; New York","1322","205",
"1400000US36005021302","Census Tract 213.02; Bronx County; New York","1291","184",
"1400000US36005021501","Census Tract 215.01; Bronx County; New York","1526","267",
"1400000US36005021502","Census Tract 215.02; Bronx County; New York","1308","220",
"1400000US36005021601","Census Tract 216.01; Bronx County; New York","1536","129",
"1400000US36005021602","Census Tract 216.02; Bronx County; New York","1715","77",
"1400000US36005021700","Census Tract 217; Bronx County; New York","1401","169",
"1400000US36005021800","Census Tract 218; Bronx County; New York","1557","131",
"1400000US36005021900","Census Tract 219; Bronx County; New York","1454","75",
"1400000US36005022000","Census Tract 220; Bronx County; New York","1343","72",
"1400000US36005022101","Census Tract 221.01; Bronx County; New York","1432","103",
"1400000US36005022102","Census Tract 221.02; Bronx County; New York","1471","144",
"1400000US36005022200","Census Tract 222; Bronx County; New York","1664","85",
"1400000US36005022300","Census Tract 223; Bronx County; New York","1183","140",
"1400000US36005022401","Census Tract 224.01; Bronx County; New York","1603","157",
"1400000US36005022403","Census Tract 224.03; Bronx County; New York","1803","131",
"1400000US36005022404","Census Tract 224.04; Bronx County; New York","1704","69",
"1400000US36005022500","Census Tract 225; Bronx County; New York","1611","154",
"1400000US36005022701","Census Tract 227.01; Bronx County; New York","1574","173",
"1400000US36005022702","Census Tract 227.02; Bronx County; New York","1443","169",
"1400000US36005022703","Census Tract 227.03; Bronx County; New York","1606","151",
"1400000US36005022800","Census Tract 228; Bronx County; New York","1798","111",
"1400000US36005022901","Census Tract 229.01; Bronx County; New York","1378","166",
"1400000US36005022902","Census Tract 229.02; Bronx County; New York","1284","216",
"1400000US36005023000","Census Tract 230; Bronx County; New York","1672","149",
"1400000US36005023100","Census Tract 231; Bronx County; New York","1544","186",
"1400000US36005023200","Census Tract 232; Bronx County; New York","1575","272",
"1400000US36005023301","Census Tract 233.01; Bronx County; New York","1440","120",
"1400000US36005023302","Census Tract 233.02; Bronx County; New York","1472","117",
"1400000US36005023501","Census Tract 235.01; Bronx County; New York","1434","121",
"1400000US36005023502","Census Tract 235.02; Bronx County; New York","1494","173",
"1400000US36005023600","Census Tract 236; Bronx County; New York","1679","323",
"1400000US36005023702","Census Tract 237.02; Bronx County; New York","1619","239",
"1400000US36005023703","Census Tract 237.03; Bronx County; New York","1602","119",
