CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID
"702.03","3",Brooklyn,"070203","3070203",I,Jamaica Bay (West),BK5692,BK56,BK56 Jamaica Bay (West) (JIA 56 Approximation),"36047070203"
"720","3",Brooklyn,"072000","3072000",I,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047072000"
"722","3",Brooklyn,"072200","3072200",E,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047072200"
"724","3",Brooklyn,"072400","3072400",I,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047072400"
"726","3",Brooklyn,"072600","3072600",E,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047072600"
"728","3",Brooklyn,"072800","3072800",I,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047072800"
"732","3",Brooklyn,"073200","3073200",E,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047073200"
"734","3",Brooklyn,"073400","3073400",I,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047073400"
"738","3",Brooklyn,"073800","3073800",E,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047073800"
"740","3",Brooklyn,"074000","3074000",I,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047074000"
"742","3",Brooklyn,"074200","3074200",E,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047074200"
"744","3",Brooklyn,"074400","3074400",I,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047074400"
"746","3",Brooklyn,"074600","3074600",I,Flatlands,BK1801,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047074600"
"748","3",Brooklyn,"074800","3074800",I,Midwood,BK1403,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047074800"
"750","3",Brooklyn,"075000","3075000",E,Midwood,BK1403,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047075000"
"752","3",Brooklyn,"075200","3075200",I,Midwood,BK1403,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047075200"
"754","3",Brooklyn,"075400","3075400",I,Midwood,BK1403,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047075400"
"756","3",Brooklyn,"075600","3075600",I,Midwood,BK1403,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047075600"
"758","3",Brooklyn,"075800","3075800",E,Midwood,BK1403,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047075800"
"760","3",Brooklyn,"076000","3076000",I,Midwood,BK1403,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047076000"
"762","3",Brooklyn,"076200","3076200",E,Midwood,BK1403,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),"36047076200"
