CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID
"1","1",Manhattan,"000100","1000100",I,The Battery-Governors Island-Ellis Island-Liberty Island,MN0191,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),"36061000100"
"14.01","1",Manhattan,"001401","1001401",I,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001401"
"14.02","1",Manhattan,"001402","1001402",E,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001402"
"18","1",Manhattan,"001800","1001800",I,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001800"
"22.01","1",Manhattan,"002201","1002201",E,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002201"
"26.02","1",Manhattan,"002602","1002602",E,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002602"
"28","1",Manhattan,"002800","1002800",E,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002800"
"34","1",Manhattan,"003400","1003400",I,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061003400"
"36.01","1",Manhattan,"003601","1003601",E,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061003601"
"36.02","1",Manhattan,"003602","1003602",I,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061003602"
"40.01","1",Manhattan,"004001","1004001",I,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061004001"
"40.02","1",Manhattan,"004002","1004002",I,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061004002"
"41","1",Manhattan,"004100","1004100",I,SoHo-Little Italy-Hudson Square,MN0201,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061004100"
"43","1",Manhattan,"004300","1004300",I,SoHo-Little Italy-Hudson Square,MN0201,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061004300"
"54","1",Manhattan,"005400","1005400",I,Midtown South-Flatiron-Union Square,MN0501,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061005400"
"55.01","1",Manhattan,"005501","1005501",I,Greenwich Village,MN0202,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061005501"
"55.02","1",Manhattan,"005502","1005502",I,Greenwich Village,MN0202,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061005502"
"58","1",Manhattan,"005800","1005800",I,Midtown South-Flatiron-Union Square,MN0501,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061005800"
"67","1",Manhattan,"006700","1006700",I,West Village,MN0203,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061006700"
"68","1",Manhattan,"006800","1006800",I,Gramercy,MN0602,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061006800"
"70.01","1",Manhattan,"007001","1007001",I,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061007001"
"70.02","1",Manhattan,"007002","1007002",I,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061007002"
"72","1",Manhattan,"007200","1007200",I,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061007200"
"73","1",Manhattan,"007300","1007300",I,West Village,MN0203,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061007300"
"77","1",Manhattan,"007700","1007700",I,West Village,MN0203,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),"36061007700"
"78","1",Manhattan,"007800","1007800",I,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061007800"
"80","1",Manhattan,"008000","1008000",I,Murray Hill-Kips Bay,MN0603,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061008000"
"81","1",Manhattan,"008100","1008100",I,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061008100"
"82","1",Manhattan,"008200","1008200",I,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061008200"
"83","1",Manhattan,"008300","1008300",I,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061008300"
"89","1",Manhattan,"008900","1008900",I,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061008900"
"92","1",Manhattan,"009200","1009200",I,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061009200"
"93","1",Manhattan,"009300","1009300",I,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061009300"
"94","1",Manhattan,"009400","1009400",I,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061009400"
"95","1",Manhattan,"009500","1009500",I,Midtown South-Flatiron-Union Square,MN0501,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061009500"
"96","1",Manhattan,"009600","1009600",I,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061009600"
"99.02","1",Manhattan,"009902","1009902",I,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061009902"
"100","1",Manhattan,"010000","1010000",I,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061010000"
"101","1",Manhattan,"010100","1010100",I,Midtown South-Flatiron-Union Square,MN0501,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061010100"
"102","1",Manhattan,"010200","1010200",I,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061010200"
"104","1",Manhattan,"010400","1010400",I,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061010400"
"108.01","1",Manhattan,"010801","1010801",I,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061010801"
"108.02","1",Manhattan,"010802","1010802",I,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061010802"
"108.03","1",Manhattan,"010803","1010803",I,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061010803"
"109","1",Manhattan,"010900","1010900",I,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061010900"
"112.01","1",Manhattan,"011201","1011201",I,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061011201"
"112.02","1",Manhattan,"011202","1011202",I,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061011202"
"112.03","1",Manhattan,"011203","1011203",I,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061011203"
"113","1",Manhattan,"011300","1011300",I,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061011300"
"114.02","1",Manhattan,"011402","1011402",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061011402"
"118","1",Manhattan,"011800","1011800",I,Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061011800"
"119","1",Manhattan,"011900","1011900",I,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061011900"
"120","1",Manhattan,"012000","1012000",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061012000"
"121.01","1",Manhattan,"012101","1012101",I,Hell's Kitchen,MN0402,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061012101"
"121.02","1",Manhattan,"012102","1012102",E,Hell's Kitchen,MN0402,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061012102"
"122","1",Manhattan,"012200","1012200",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061012200"
"125","1",Manhattan,"012500","1012500",I,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061012500"
"126.01","1",Manhattan,"012601","1012601",I,Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061012601"
"126.02","1",Manhattan,"012602","1012602",I,Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061012602"
"127","1",Manhattan,"012700","1012700",I,Hell's Kitchen,MN0402,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061012700"
"130","1",Manhattan,"013000","1013000",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061013000"
"131","1",Manhattan,"013100","1013100",I,Midtown-Times Square,MN0502,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061013100"
"132.01","1",Manhattan,"013201","1013201",E,Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061013201"
"132.02","1",Manhattan,"013202","1013202",I,Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061013202"
"133","1",Manhattan,"013300","1013300",I,Hell's Kitchen,MN0402,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061013300"
"136.01","1",Manhattan,"013601","1013601",I,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061013601"
"136.02","1",Manhattan,"013602","1013602",I,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061013602"
"148.01","1",Manhattan,"014801","1014801",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061014801"
"149","1",Manhattan,"014900","1014900",I,Upper West Side-Lincoln Square,MN0701,MN07,MN07 Upper West Side (CD 7 Approximation),"36061014900"
"150.01","1",Manhattan,"015001","1015001",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015001"
"150.02","1",Manhattan,"015002","1015002",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015002"
"151.01","1",Manhattan,"015101","1015101",E,Upper West Side-Lincoln Square,MN0701,MN07,MN07 Upper West Side (CD 7 Approximation),"36061015101"
"153.01","1",Manhattan,"015301","1015301",I,Upper West Side-Lincoln Square,MN0701,MN07,MN07 Upper West Side (CD 7 Approximation),"36061015301"
"153.02","1",Manhattan,"015302","1015302",I,Upper West Side-Lincoln Square,MN0701,MN07,MN07 Upper West Side (CD 7 Approximation),"36061015302"
"154.01","1",Manhattan,"015401","1015401",I,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015401"
"154.02","1",Manhattan,"015402","1015402",I,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015402"
"154.03","1",Manhattan,"015403","1015403",I,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015403"
"155.01","1",Manhattan,"015501","1015501",I,Upper West Side-Lincoln Square,MN0701,MN07,MN07 Upper West Side (CD 7 Approximation),"36061015501"
"157","1",Manhattan,"015700","1015700",I,Upper West Side-Lincoln Square,MN0701,MN07,MN07 Upper West Side (CD 7 Approximation),"36061015700"
"158.01","1",Manhattan,"015801","1015801",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015801"
"158.02","1",Manhattan,"015802","1015802",I,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061015802"
"160.01","1",Manhattan,"016001","1016001",I,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061016001"
"161","1",Manhattan,"016100","1016100",I,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061016100"
"164","1",Manhattan,"016400","1016400",E,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061016400"
"165","1",Manhattan,"016500","1016500",I,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061016500"
"166","1",Manhattan,"016600","1016600",E,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061016600"
"169","1",Manhattan,"016900","1016900",I,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061016900"
"171","1",Manhattan,"017100","1017100",I,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017100"
"172","1",Manhattan,"017200","1017200",E,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061017200"
"173","1",Manhattan,"017300","1017300",I,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017300"
"174.01","1",Manhattan,"017401","1017401",E,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061017401"
"174.02","1",Manhattan,"017402","1017402",E,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061017402"
"175","1",Manhattan,"017500","1017500",I,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017500"
"177","1",Manhattan,"017700","1017700",I,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017700"
"180","1",Manhattan,"018000","1018000",E,East Harlem (North),MN1102,MN11,MN11 East Harlem (CD 11 Equivalent),"36061018000"
"181","1",Manhattan,"018100","1018100",I,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061018100"
"184","1",Manhattan,"018400","1018400",E,East Harlem (North),MN1102,MN11,MN11 East Harlem (CD 11 Equivalent),"36061018400"
"186","1",Manhattan,"018600","1018600",E,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061018600"
"187","1",Manhattan,"018700","1018700",I,Upper West Side-Manhattan Valley,MN0703,MN07,MN07 Upper West Side (CD 7 Approximation),"36061018700"
"193","1",Manhattan,"019300","1019300",E,Upper West Side-Manhattan Valley,MN0703,MN07,MN07 Upper West Side (CD 7 Approximation),"36061019300"
"196","1",Manhattan,"019600","1019600",I,East Harlem (North),MN1102,MN11,MN11 East Harlem (CD 11 Equivalent),"36061019600"
"197.02","1",Manhattan,"019702","1019702",E,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061019702"
"199","1",Manhattan,"019900","1019900",I,Morningside Heights,MN0901,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061019900"
"206","1",Manhattan,"020600","1020600",E,East Harlem (North),MN1102,MN11,MN11 East Harlem (CD 11 Equivalent),"36061020600"
"207.01","1",Manhattan,"020701","1020701",E,Morningside Heights,MN0901,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061020701"
"213.03","1",Manhattan,"021303","1021303",E,Manhattanville-West Harlem,MN0902,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061021303"
"215","1",Manhattan,"021500","1021500",E,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061021500"
"217.03","1",Manhattan,"021703","1021703",I,Manhattanville-West Harlem,MN0902,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061021703"
"218","1",Manhattan,"021800","1021800",E,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061021800"
"220","1",Manhattan,"022000","1022000",I,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061022000"
"221.02","1",Manhattan,"022102","1022102",I,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061022102"
"222","1",Manhattan,"022200","1022200",I,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061022200"
"223.01","1",Manhattan,"022301","1022301",E,Manhattanville-West Harlem,MN0902,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061022301"
"226","1",Manhattan,"022600","1022600",E,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061022600"
"228","1",Manhattan,"022800","1022800",I,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061022800"
"231","1",Manhattan,"023100","1023100",E,Hamilton Heights-Sugar Hill,MN0903,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061023100"
"234","1",Manhattan,"023400","1023400",E,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061023400"
"235.02","1",Manhattan,"023502","1023502",E,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061023502"
"243.01","1",Manhattan,"024301","1024301",E,Washington Heights (South),MN1201,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061024301"
"249","1",Manhattan,"024900","1024900",I,Washington Heights (South),MN1201,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061024900"
"255","1",Manhattan,"025500","1025500",I,Washington Heights (South),MN1201,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061025500"
"265","1",Manhattan,"026500","1026500",I,Washington Heights (North),MN1202,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061026500"
"271","1",Manhattan,"027100","1027100",E,Washington Heights (North),MN1202,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061027100"
"293","1",Manhattan,"029300","1029300",E,Inwood,MN1203,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061029300"
"295","1",Manhattan,"029500","1029500",E,Inwood,MN1203,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061029500"
"16","2",Bronx,"001600","2001600",E,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005001600"
"19.04","2",Bronx,"001904","2001904",I,North & South Brother Islands,BX0291,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005001904"
"20.02","2",Bronx,"002002","2002002",E,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005002002"
"23","2",Bronx,"002300","2002300",E,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005002300"
"25","2",Bronx,"002500","2002500",E,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005002500"
"27.01","2",Bronx,"002701","2002701",E,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005002701"
"27.02","2",Bronx,"002702","2002702",E,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005002702"
"38","2",Bronx,"003800","2003800",E,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005003800"
"39","2",Bronx,"003900","2003900",E,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005003900"
"40.01","2",Bronx,"004001","2004001",I,Castle Hill-Unionport,BX0903,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005004001"
"42","2",Bronx,"004200","2004200",I,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005004200"
"44","2",Bronx,"004400","2004400",E,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005004400"
"46","2",Bronx,"004600","2004600",E,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005004600"
"48","2",Bronx,"004800","2004800",E,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005004800"
"64","2",Bronx,"006400","2006400",E,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005006400"
"65","2",Bronx,"006500","2006500",I,Melrose,BX0102,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005006500"
"68","2",Bronx,"006800","2006800",E,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005006800"
"70","2",Bronx,"007000","2007000",E,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005007000"
"72","2",Bronx,"007200","2007200",E,Castle Hill-Unionport,BX0903,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005007200"
"74","2",Bronx,"007400","2007400",E,Castle Hill-Unionport,BX0903,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005007400"
"76","2",Bronx,"007600","2007600",E,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005007600"
"79","2",Bronx,"007900","2007900",E,Melrose,BX0102,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005007900"
"86","2",Bronx,"008600","2008600",E,Castle Hill-Unionport,BX0903,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005008600"
"87","2",Bronx,"008700","2008700",E,Longwood,BX0202,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005008700"
"117.02","2",Bronx,"011702","2011702",I,Hunts Point,BX0201,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005011702"
"121.02","2",Bronx,"012102","2012102",E,Longwood,BX0202,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005012102"
"125","2",Bronx,"012500","2012500",E,Crotona Park East,BX0303,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005012500"
"129.01","2",Bronx,"012901","2012901",E,Longwood,BX0202,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005012901"
"130","2",Bronx,"013000","2013000",I,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005013000"
"132","2",Bronx,"013200","2013200",I,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005013200"
"133","2",Bronx,"013300","2013300",E,Morrisania,BX0301,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005013300"
"135","2",Bronx,"013500","2013500",E,Morrisania,BX0301,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005013500"
"144","2",Bronx,"014400","2014400",E,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005014400"
"149","2",Bronx,"014900","2014900",E,Morrisania,BX0301,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005014900"
"152","2",Bronx,"015200","2015200",E,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005015200"
"153","2",Bronx,"015300","2015300",E,Crotona Park East,BX0303,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005015300"
"158","2",Bronx,"015800","2015800",E,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005015800"
"160","2",Bronx,"016000","2016000",I,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005016000"
"162","2",Bronx,"016200","2016200",I,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005016200"
"164","2",Bronx,"016400","2016400",I,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005016400"
"175","2",Bronx,"017500","2017500",E,Concourse-Concourse Village,BX0401,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005017500"
"179.01","2",Bronx,"017901","2017901",E,Concourse-Concourse Village,BX0401,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005017901"
"179.02","2",Bronx,"017902","2017902",E,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005017902"
"181.02","2",Bronx,"018102","2018102",E,Concourse-Concourse Village,BX0401,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005018102"
"184","2",Bronx,"018400","2018400",I,Throgs Neck-Schuylerville,BX1002,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005018400"
"202","2",Bronx,"020200","2020200",E,Westchester Square,BX1001,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005020200"
"204","2",Bronx,"020400","2020400",E,Westchester Square,BX1001,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),"36005020400"
"209","2",Bronx,"020900","2020900",E,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005020900"
"210.02","2",Bronx,"021002","2021002",E,Parkchester,BX0904,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005021002"
"213.02","2",Bronx,"021302","2021302",E,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005021302"
"215.01","2",Bronx,"021501","2021501",E,University Heights (South)-Morris Heights,BX0501,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),"36005021501"
"219","2",Bronx,"021900","2021900",I,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005021900"
"221.01","2",Bronx,"022101","2022101",E,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005022101"
"221.02","2",Bronx,"022102","2022102",E,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005022102"
"223","2",Bronx,"022300","2022300",E,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005022300"
"224.04","2",Bronx,"022404","2022404",E,Pelham Parkway-Van Nest,BX1101,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),"36005022404"
"225","2",Bronx,"022500","2022500",E,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005022500"
"227.02","2",Bronx,"022702","2022702",E,Mount Eden-Claremont (West),BX0403,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),"36005022702"
